gene,uniprot_id,log2_apoe2_over_apoe3,qvalue,comparison
IGFBP2,P18065,1.07712800231979,0.0148557987068337,APOE2 / APOE3
TOR4A,Q9NXH8,-1.06795090976332,0.00969419637817857,APOE2 / APOE3
EIF4A2,Q14240,-1.06132700530208,4.43116388312131e-07,APOE2 / APOE3
UTP25,Q68CQ4,-1.05939606578653,0.0174362909950006,APOE2 / APOE3
ADD3,Q9UEY8,1.05458341060563,2.10089205179624e-06,APOE2 / APOE3
NEK7,Q8TDX7,-1.05269037212491,0.00607961397025689,APOE2 / APOE3
CDC42EP4,Q9H3Q1,1.05121691781431,0.000179200585949571,APOE2 / APOE3
BPNT2,Q9NX62,1.04545886723153,0.00269096344030054,APOE2 / APOE3
EFEMP2,O95967,1.04372073930765,0.0385457502444972,APOE2 / APOE3
AFP,P02771,1.03988007928535,2.10089205179624e-06,APOE2 / APOE3
MCCC2,Q9HCC0,-1.03720014199926,0.000678600990346589,APOE2 / APOE3
LEPROT,O15243,-1.03238246098944,0.0300826580116577,APOE2 / APOE3
PVR,P15151,-1.0286773912115,0.000731099890466239,APOE2 / APOE3
JAK1,P23458,1.01754389668912,0.0454282664328358,APOE2 / APOE3
PON2,Q15165,-1.01682059953314,0.00441212838478666,APOE2 / APOE3
AHSG,P02765,1.0107569340019,0.0175529050909319,APOE2 / APOE3
CPPED1,Q9BRF8,-1.0070164457701,0.0393217643218965,APOE2 / APOE3
FGF2,P09038,-1.00433505813418,0.0103445981916855,APOE2 / APOE3
NEK9,Q8TD19,1.00069823578944,0.0352475557860076,APOE2 / APOE3
RBP1,P09455,0.990125202225877,0.000731099890466239,APOE2 / APOE3
MAP2,P11137,0.987633533277849,0.000313274898489118,APOE2 / APOE3
NCAPG,Q9BPX3,-0.983389841262811,0.0357135441846129,APOE2 / APOE3
PTPN14,Q15678,-0.980224869469867,0.00188807448678959,APOE2 / APOE3
OBSL1,O75147,0.98005745774038,0.0486122376606004,APOE2 / APOE3
CCDC50,Q8IVM0,-0.969594072428444,0.00345565105905149,APOE2 / APOE3
IFT57,Q9NWB7,0.959754284737356,0.00660635912105593,APOE2 / APOE3
KANK2,Q63ZY3,0.951609697129439,0.0203779892704202,APOE2 / APOE3
UBE2L6,O14933,0.946002006571301,0.0202713588168295,APOE2 / APOE3
CCDC8,Q9H0W5,0.938578142530407,0.0142472865015455,APOE2 / APOE3
ITGA3,P26006,-0.920031260885703,0.00125055100946578,APOE2 / APOE3
ANLN,Q9NQW6,-0.916711092436872,5.56908792057533e-08,APOE2 / APOE3
SAV1,Q9H4B6,-0.913182022990378,0.0123226908868203,APOE2 / APOE3
NEFM,P07197,0.909009991466214,2.14102231250707e-07,APOE2 / APOE3
ALDH1B1,P30837,-0.907626487854105,0.0278005394569574,APOE2 / APOE3
UBE2S,Q16763,-0.907215430532348,0.0166028492022108,APOE2 / APOE3
SERPINE1,P05121,-0.902698585792476,0.00155402663436038,APOE2 / APOE3
ECM1,Q16610,0.890546491229475,0.0129053446348833,APOE2 / APOE3
TPX2,Q9ULW0,-0.890527803280666,0.011272936342578,APOE2 / APOE3
NR2F2,P24468,0.881842771819717,0.00711695462170009,APOE2 / APOE3
FZD7,O75084,0.870003776573407,0.000965396576803964,APOE2 / APOE3
COL6A3,P12111,0.8633969231414,1.12166485102963e-18,APOE2 / APOE3
KNOP1,Q1ED39,-0.862571023031335,0.0415779195347173,APOE2 / APOE3
PFKP,Q01813,-0.861365065016754,2.14102231250707e-07,APOE2 / APOE3
PIK3C2A,O00443,-0.859208944216015,0.0496078676270468,APOE2 / APOE3
TAGLN,Q01995,-0.858497126807515,6.53143900911604e-08,APOE2 / APOE3
TXN,P10599,0.837745667102428,0.00151718986941424,APOE2 / APOE3
ALB,P02768,0.825486033901294,0.000678600990346589,APOE2 / APOE3
COL14A1,Q05707,0.817676517664452,0.0494639774585007,APOE2 / APOE3
GALNT10,Q86SR1,-0.81755488812793,0.023702734319153,APOE2 / APOE3
METTL7A,Q9H8H3,0.814363368830841,0.000731099890466239,APOE2 / APOE3
TF,P02787,0.809489043814259,0.0330881196304023,APOE2 / APOE3
BASP1,P80723,0.803166642423375,0.0141960305473525,APOE2 / APOE3
ITGB3,P05106,-0.795683371011445,0.00177929843832737,APOE2 / APOE3
LMO7,Q8WWI1,-0.791466065704811,1.16736936021212e-15,APOE2 / APOE3
HIP1,O00291,0.787197773658825,0.00177929843832737,APOE2 / APOE3
PALS1,Q8N3R9,-0.786894297491236,0.0023375408892642,APOE2 / APOE3
HCLS1,P14317,-0.786702196878481,0.00329068670958676,APOE2 / APOE3
ARHGAP18,Q8N392,-0.77954930148613,3.8067279639986e-06,APOE2 / APOE3
TJP2,Q9UDY2,-0.772567126747423,0.000294427654987501,APOE2 / APOE3
CALU,O43852,-0.772190654199438,0.00583802783936752,APOE2 / APOE3
TMEM200A,Q86VY9,-0.771234734272587,0.0349647751975636,APOE2 / APOE3
TOP2A,P11388,-0.758475498171708,0.000247072197671696,APOE2 / APOE3
MKI67,P46013,-0.758115499043516,0.0478746434937079,APOE2 / APOE3
FAP,Q12884,0.757996766006378,0.00202627120599626,APOE2 / APOE3
NOTCH2,Q04721,0.756685083936409,0.0190134880315287,APOE2 / APOE3
TRIO,O75962,-0.756495969667086,0.0025531362527097,APOE2 / APOE3
CAP2,P40123,-0.752814401757358,0.0492270443500772,APOE2 / APOE3
TACO1,Q9BSH4,-0.752329358647904,0.0188662282094995,APOE2 / APOE3
TECPR2,O15040,0.749161667945676,0.016115312980996,APOE2 / APOE3
SRRM1,Q8IYB3,0.749015359554779,0.0332991623115499,APOE2 / APOE3
MRPS10,P82664,0.745533574019302,0.0415443031855216,APOE2 / APOE3
NAPRT,Q6XQN6,0.740973861298454,0.000244236647728958,APOE2 / APOE3
CENPV,Q7Z7K6,0.739835503260611,0.04694237253788,APOE2 / APOE3
ASNS,P08243,-0.733639454818404,0.00122058506628132,APOE2 / APOE3
PTPN1,P18031,-0.726696579278714,0.0372673200260444,APOE2 / APOE3
CTIF,O43310,-0.72652754948922,0.00797111504128331,APOE2 / APOE3
OARD1,Q9Y530,-0.721792716322804,0.0343840272055922,APOE2 / APOE3
MPDZ,O75970,-0.720190895899839,0.00583802783936752,APOE2 / APOE3
GPD1L,Q8N335,0.718143791815994,0.0170194025093745,APOE2 / APOE3
MRC2,Q9UBG0,0.715603021968335,2.80669192781138e-07,APOE2 / APOE3
ADD1,P35611,0.715511081178739,0.00262283496261807,APOE2 / APOE3
NEDD4L,Q96PU5,-0.712164631347479,0.0319697415813308,APOE2 / APOE3
COL3A1,P02461,0.712123651582976,9.06334178483057e-05,APOE2 / APOE3
PTK7,Q13308,0.709584343256579,0.000609054116652393,APOE2 / APOE3
ZEB2,O60315,0.699933198501511,0.000294427654987501,APOE2 / APOE3
DSTN,P60981,-0.699096375657994,0.00399001791334108,APOE2 / APOE3
CDK17,Q00537,-0.69693928487245,0.00177929843832737,APOE2 / APOE3
COL6A2,P12110,0.695420539113686,1.12213907219961e-06,APOE2 / APOE3
