type,cell_type,feature,coefficient
tAge,Th2,(Intercept),31.91935275
tAge,Th2,AAGAB,0.253516632
tAge,Th2,ABCD2,1.65972083
tAge,Th2,ABHD15,-0.150301652
tAge,Th2,ACBD7,7.557813811
tAge,Th2,ACTR3,0.418775474
tAge,Th2,ACTR6,0.164996159
tAge,Th2,ADAM12,-0.730331954
tAge,Th2,ADAM17,0.451575231
tAge,Th2,ADAM23,1.398267646
tAge,Th2,ADNP2,0.586930102
tAge,Th2,AGAP4,-1.188689733
tAge,Th2,AIDA,0.137150536
tAge,Th2,AIFM2,-1.320747057
tAge,Th2,AKAP12,0.18483361
tAge,Th2,ALK,2.428888366
tAge,Th2,AMPD3,-1.239590278
tAge,Th2,ANKH,-0.07666349
tAge,Th2,ANKRD28,-0.415746629
tAge,Th2,ANKRD36C,0.004214126
tAge,Th2,ANO6,-0.247298634
tAge,Th2,ANXA2R,-0.707174425
tAge,Th2,APLP2,-0.250757054
tAge,Th2,APOA1,13.82569267
tAge,Th2,ARAP1-AS1,6.270219681
tAge,Th2,ARL5A,-0.96561804
tAge,Th2,ARRDC1-AS1,-2.43497746
tAge,Th2,ARSG,0.41734136
tAge,Th2,ASAP1,-0.013459684
tAge,Th2,ASCC3,0.095262155
tAge,Th2,ASPH,-1.314432573
tAge,Th2,ASS1,47.79730422
tAge,Th2,ATF1,0.454161451
tAge,Th2,ATG4D,3.752489806
tAge,Th2,ATP6V0A2,0.838216929
tAge,Th2,ATP6V0D1,1.36540512
tAge,Th2,ATP6V1B2,0.336538872
tAge,Th2,ATP6V1H,0.80444298
tAge,Th2,ATXN2-AS,7.955634143
tAge,Th2,ATXN7L3B,-0.475024672
tAge,Th2,AUTS2,-1.708453678
tAge,Th2,BAALC-AS1,1.756671015
tAge,Th2,BACH1-IT2,-1.01168815
tAge,Th2,BBS1,0.835210187
tAge,Th2,BCAR4,30.95411299
tAge,Th2,BCL2,0.297902587
tAge,Th2,BFSP2,2.542504668
tAge,Th2,BHLHA15,53.6838966
tAge,Th2,BMPR2,-0.857794534
tAge,Th2,BRD8,-0.63078503
tAge,Th2,BTBD9,-0.760841897
tAge,Th2,C18orf21,-1.021797825
tAge,Th2,C21orf91-OT1,0.049156744
tAge,Th2,C5orf63,-2.637214976
tAge,Th2,CAB39L,2.665596154
tAge,Th2,CABLES1,69.35636361
tAge,Th2,CAMSAP2,-0.82000005
tAge,Th2,CARMIL3,49.44816247
tAge,Th2,CATSPERE,0.016392698
tAge,Th2,CBLB,0.800889632
tAge,Th2,CBLN3,6.732103916
tAge,Th2,CCDC126,-0.781836367
tAge,Th2,CCDC134,0.171747764
tAge,Th2,CCDC25,-2.900322938
tAge,Th2,CCDC50,-1.07202103
tAge,Th2,CCL27,32.71037728
tAge,Th2,CCND3,-0.526657361
tAge,Th2,CCR6,-1.218934066
tAge,Th2,CCSER1,1.39286136
tAge,Th2,CD151,1.194192046
tAge,Th2,CD2,0.428092439
tAge,Th2,CD247,-1.90926523
tAge,Th2,CD52,0.036489768
tAge,Th2,CD58,0.540791241
tAge,Th2,CD8A,1.276708718
tAge,Th2,CD8B,1.252979543
tAge,Th2,CDK12,-0.174055173
tAge,Th2,CDK2AP2,1.154493219
tAge,Th2,CDKN2A,1.058759309
tAge,Th2,CDKN2B-AS1,2.387463879
tAge,Th2,CDO1,-2.342502055
tAge,Th2,CEP120,1.775897705
tAge,Th2,CEP44,-0.294359199
tAge,Th2,CEP85L,0.015809942
tAge,Th2,CERKL,0.695455802
tAge,Th2,CERS3-AS1,0.141976125
tAge,Th2,CFAP299,1.489320212
tAge,Th2,CFAP97,-1.284387592
tAge,Th2,CFTR,23.30353896
tAge,Th2,CHCHD4,-2.100533679
tAge,Th2,CHD6,-0.815267272
tAge,Th2,CHKB-CPT1B,6.627650861
tAge,Th2,CHN1,0.610962273
tAge,Th2,CHRD,57.05867247
tAge,Th2,CHRM5,-0.239213358
tAge,Th2,CHST10,-1.598800914
tAge,Th2,CHSY3,2.774354207
tAge,Th2,CILP2,-56.15288776
tAge,Th2,CLDN4,-13.82358793
tAge,Th2,CLEC18C,-2.380881533
tAge,Th2,CMC2,0.323798365
tAge,Th2,CNTLN,-6.573887991
tAge,Th2,CNTNAP2,8.008638523
tAge,Th2,CNTNAP5,6.031486115
tAge,Th2,COL8A1,-15.11997406
tAge,Th2,COQ9,0.307818767
tAge,Th2,CORO7,-0.151157946
tAge,Th2,COX16,-2.101034807
tAge,Th2,COX6A1,0.258686707
tAge,Th2,CPAMD8,-6.40757886
tAge,Th2,CPLANE1,-0.940387162
tAge,Th2,CR1,-1.992741766
tAge,Th2,CREB5,-0.452741637
tAge,Th2,CRIP1,0.193900411
tAge,Th2,CRIP2,1.139627539
tAge,Th2,CRLF2,2.717892368
tAge,Th2,CSRP2,-4.759648931
tAge,Th2,CX3CR1,0.355699271
tAge,Th2,CXCR3,2.967964782
tAge,Th2,CYP1B1-AS1,6.45999599
tAge,Th2,DAAM1,-0.453177504
tAge,Th2,DAP,-0.119609717
tAge,Th2,DBNL,0.381336652
tAge,Th2,DCAF17,1.623160841
tAge,Th2,DCDC2,-0.088827993
tAge,Th2,DDB2,0.237420245
tAge,Th2,DDHD1,0.409648208
tAge,Th2,DDIT4L,24.24140391
tAge,Th2,DENND3,1.424199741
tAge,Th2,DERA,-0.742687525
tAge,Th2,DGAT2,11.58401965
tAge,Th2,DGKI,0.338487845
tAge,Th2,DHCR24,-4.605613622
tAge,Th2,DIO1,-30.51281827
tAge,Th2,DIO2,-0.601943667
tAge,Th2,DIP2B,-1.856708987
tAge,Th2,DIP2C,-1.72916603
tAge,Th2,DIRC3,-0.687797021
tAge,Th2,DLG2,-0.535321426
tAge,Th2,DMD,-1.359780899
tAge,Th2,DNAJB5,-0.408735691
tAge,Th2,DNLZ,8.381853017
tAge,Th2,DNMT3B,-2.704348223
tAge,Th2,DOCK5,1.374057495
tAge,Th2,DOK1,4.429299806
tAge,Th2,DRP2,-10.76520667
tAge,Th2,DSCAML1,1.392349725
tAge,Th2,DST,0.893172241
tAge,Th2,DTX1,-0.207418806
tAge,Th2,DUS2,0.745281904
tAge,Th2,DUSP4,1.636935616
tAge,Th2,DUT,0.117061126
tAge,Th2,E2F4,-2.608242132
tAge,Th2,E2F8,-8.002544224
tAge,Th2,EBI3,-28.68742279
tAge,Th2,EDA,0.429487948
tAge,Th2,EDN1,7.199828207
tAge,Th2,EED,0.242245266
tAge,Th2,EEF1AKMT1,0.868542848
tAge,Th2,EFCAB11,-0.832559414
tAge,Th2,EFHC2,-0.250929933
tAge,Th2,EHBP1L1,0.129168815
tAge,Th2,EHD2,74.40842451
tAge,Th2,EIF1AY,0.356282399
tAge,Th2,EIF3L,-1.369757469
tAge,Th2,ELF3,8.284075143
tAge,Th2,ELMOD2,-0.047663119
tAge,Th2,ELOVL7,7.488724139
tAge,Th2,ELP3,0.598119572
tAge,Th2,EMC6,2.983539897
tAge,Th2,EMC7,1.054672778
tAge,Th2,ENDOD1,1.491545153
tAge,Th2,EPB41,-0.343207161
tAge,Th2,EPB41L2,-1.176356353
tAge,Th2,ETV1,3.015133806
tAge,Th2,EXOC1,1.943967104
tAge,Th2,EXOC6B,-0.410299313
tAge,Th2,F10,10.40060468
tAge,Th2,F5,0.475809361
tAge,Th2,FAM13A,0.615309213
tAge,Th2,FAM178B,3.656367537
tAge,Th2,FAM180A,61.60350496
tAge,Th2,FAM184A,-1.062235669
tAge,Th2,FAM216B,60.8964802
tAge,Th2,FANCD2,0.477922308
tAge,Th2,FARP1,-13.91584361
tAge,Th2,FAU,0.366656968
tAge,Th2,FBXO40,-5.572344727
tAge,Th2,FCF1,-0.314300649
tAge,Th2,FCGRT,-3.777852918
tAge,Th2,FCHO2,-0.133346509
tAge,Th2,FGFR1,0.378136116
tAge,Th2,FGFR4,17.90742871
tAge,Th2,FLNA,1.120092306
tAge,Th2,FMC1,-1.444860075
tAge,Th2,FMO4,-1.359604413
tAge,Th2,FNBP1L,-1.138412513
tAge,Th2,FNDC3B,0.003660401
tAge,Th2,FOCAD-AS1,14.55515888
tAge,Th2,FOXD4L1,-31.42824101
tAge,Th2,FOXI1,1.76734665
tAge,Th2,FOXO1,1.394075939
tAge,Th2,FRMD4A,-1.529317957
tAge,Th2,FRY,-0.205483529
tAge,Th2,FSTL5,-0.680125729
tAge,Th2,FUT8,0.211050957
tAge,Th2,FXYD5,-0.246998205
tAge,Th2,FYN,-0.557599791
tAge,Th2,GAB2,0.096613262
tAge,Th2,GAS1,53.14981821
tAge,Th2,GAS1RR,-1.788580815
tAge,Th2,GATA3-AS1,2.826071027
tAge,Th2,GBA2,2.949441386
tAge,Th2,GBP5,1.266109751
tAge,Th2,GDF15,-20.55793001
tAge,Th2,gender,0.120084665
tAge,Th2,GLB1L,-1.885103907
tAge,Th2,GLB1L3,1.217527178
tAge,Th2,GLIS3,-2.579034914
tAge,Th2,GLT1D1,19.31917792
tAge,Th2,GLUD1,-1.317314665
tAge,Th2,GML,0.225259213
tAge,Th2,GNAI1,-2.489320477
tAge,Th2,GNAI3,0.844801703
tAge,Th2,GNG7,-0.019653276
tAge,Th2,GPCPD1,0.548512691
tAge,Th2,GPD2,-0.492100037
tAge,Th2,GPHN,0.631779354
tAge,Th2,GPR151,80.28272896
tAge,Th2,GPR75,5.462613328
tAge,Th2,GREB1,-3.032134496
tAge,Th2,GREB1L,-1.747953539
tAge,Th2,GREM2,2.252545954
tAge,Th2,GRID2IP,2.199730289
tAge,Th2,GTPBP10,0.650171786
tAge,Th2,GTSCR1,8.553095753
tAge,Th2,GUCA2A,-73.30025865
tAge,Th2,HAS3,10.88333263
tAge,Th2,HAUS7,3.224011158
tAge,Th2,HCG11,-2.569465545
tAge,Th2,HDGFL3,0.154588805
tAge,Th2,HEATR4,-6.081995024
tAge,Th2,HELB,0.151751118
tAge,Th2,HERC5,0.375197352
tAge,Th2,HIPK1-AS1,-2.017707398
tAge,Th2,HIST2H4B,-10.75907225
tAge,Th2,HIVEP3,0.14439391
tAge,Th2,HLA-DPB1,0.066243674
tAge,Th2,HMGN2,0.212531177
tAge,Th2,HPF1,-2.003998187
tAge,Th2,HPGD,-1.015437244
tAge,Th2,HTRA2,5.782252193
tAge,Th2,HTRA4,-6.803201026
tAge,Th2,HYAL4,4.493939988
tAge,Th2,HYKK,-4.776585283
tAge,Th2,IBTK,0.054329534
tAge,Th2,ICOSLG,-30.2966667
tAge,Th2,IFITM2,0.283262409
tAge,Th2,IFNG-AS1,-0.263299753
tAge,Th2,IFT80,1.67887322
tAge,Th2,IGHV3-49,0.155670463
tAge,Th2,IGHV4-28,25.81839732
tAge,Th2,IGKV3-20,2.467548547
tAge,Th2,IGLV1-51,0.018033224
tAge,Th2,IKZF3,-0.026263546
tAge,Th2,IL12RB1,0.907149078
tAge,Th2,IL1R1,9.487554392
tAge,Th2,IL21-AS1,7.871519476
tAge,Th2,IL7R,-0.56204384
tAge,Th2,INPP5A,-0.097718386
tAge,Th2,INPP5K,-1.911331344
tAge,Th2,INTS7,0.667166106
tAge,Th2,IQCA1L,-12.94954218
tAge,Th2,IQGAP1,0.035792447
tAge,Th2,ISOC1,0.246952894
tAge,Th2,ITPR1,0.242003261
tAge,Th2,JAK3,0.937752485
tAge,Th2,JMJD4,2.283645057
tAge,Th2,JPH1,-34.69981318
tAge,Th2,JPH3,32.51016452
tAge,Th2,KATNAL1,0.015101806
tAge,Th2,KBTBD7,4.8845183
tAge,Th2,KIAA1671,0.192455017
tAge,Th2,KIAA2012,-2.644863674
tAge,Th2,KIF21A,0.323172999
tAge,Th2,KIF5C,-0.287376025
tAge,Th2,KLF3,-1.125451988
tAge,Th2,KLHDC1,-0.720429655
tAge,Th2,KLHL3,-0.211061044
tAge,Th2,KLHL7,-0.305901559
tAge,Th2,KLKB1,2.988556445
tAge,Th2,KLRC4,3.456687039
tAge,Th2,KLRC4-KLRK1,1.529180309
tAge,Th2,KLRK1,1.531531119
tAge,Th2,KMO,12.17312753
tAge,Th2,KRT86,5.471239362
tAge,Th2,KXD1,0.312987971
tAge,Th2,LAMA5,0.325207432
tAge,Th2,LAS1L,-1.310773473
tAge,Th2,LATS2,-0.08796807
tAge,Th2,LCMT2,2.432757888
tAge,Th2,LEKR1,-0.434000487
tAge,Th2,LEO1,-0.71345404
tAge,Th2,LEPROT,-0.752193796
tAge,Th2,LGALS1,1.671155435
tAge,Th2,LINC00158,0.761627822
tAge,Th2,LINC00243,-0.019980406
tAge,Th2,LINC00278,0.137075097
tAge,Th2,LINC00471,-6.170996209
tAge,Th2,LINC00511,-0.518322849
tAge,Th2,LINC00513,0.021396561
tAge,Th2,LINC00598,1.260275507
tAge,Th2,LINC00642,37.84823642
tAge,Th2,LINC00663,-0.517352658
tAge,Th2,LINC00891,-2.373104452
tAge,Th2,LINC00923,-24.36987897
tAge,Th2,LINC01003,0.175857728
tAge,Th2,LINC01342,15.94304543
tAge,Th2,LINC01483,-0.233649222
tAge,Th2,LINC01516,9.609804984
tAge,Th2,LINC01545,-98.83377784
tAge,Th2,LINC01606,-16.84881225
tAge,Th2,LINC01678,1.531380186
tAge,Th2,LINC01681,86.84884076
tAge,Th2,LINC01684,2.976058765
tAge,Th2,LINC01754,2.970137874
tAge,Th2,LINC01786,9.621640597
tAge,Th2,LINC01926,121.4457555
tAge,Th2,LINC01948,-0.716757002
tAge,Th2,LINC02043,-14.92422099
tAge,Th2,LINC02086,0.853975052
tAge,Th2,LINC02128,-17.73373187
tAge,Th2,LINC02240,-9.565846663
tAge,Th2,LINC02330,49.87323719
tAge,Th2,LINC02335,33.82520283
tAge,Th2,LINC02357,6.002549905
tAge,Th2,LINC02552,75.78551352
tAge,Th2,LINC02570,73.551574
tAge,Th2,LIPK,44.84617752
tAge,Th2,LPAR3,1.843044728
tAge,Th2,LRBA,0.830674392
tAge,Th2,LRCH1,-1.049192784
tAge,Th2,LRRC57,0.640359668
tAge,Th2,LTA,0.111315448
tAge,Th2,LTB,0.08717065
tAge,Th2,LY6E,0.291689281
tAge,Th2,LYN,0.173185675
tAge,Th2,MACF1,0.233478536
tAge,Th2,MAFG,1.037083156
tAge,Th2,MALT1,-2.587524667
tAge,Th2,MAML3,-0.812729239
tAge,Th2,MAN1C1,-0.645907013
tAge,Th2,MAP3K20,-0.453570434
tAge,Th2,MAP3K4,-0.970574479
tAge,Th2,MAPK11,6.691921478
tAge,Th2,MAPRE3,0.40866706
tAge,Th2,MB21D2,0.123106105
tAge,Th2,MBNL1,0.698275931
tAge,Th2,MBNL2,-0.283390583
tAge,Th2,MCHR2,6.458774517
tAge,Th2,MCOLN2,1.301688792
tAge,Th2,MDK,-1.292497424
tAge,Th2,METTL18,-1.507398372
tAge,Th2,MFSD6,0.368659188
tAge,Th2,MGAT5,-1.065705412
tAge,Th2,MGST1,56.69555735
tAge,Th2,MGST2,-1.450133326
tAge,Th2,MICAL2,0.211309964
tAge,Th2,MICU3,0.409748274
tAge,Th2,MIR133A1HG,29.84656097
tAge,Th2,MIR34AHG,5.124741346
tAge,Th2,MIR497HG,21.13309006
tAge,Th2,MIRLET7BHG,1.15954977
tAge,Th2,MMP14,-20.13093409
tAge,Th2,MMS22L,0.342812553
tAge,Th2,MON2,0.502835719
tAge,Th2,MOSPD1,0.494442626
tAge,Th2,MOV10,3.522858026
tAge,Th2,MROH7-TTC4,48.20395452
tAge,Th2,MSC-AS1,0.159273057
tAge,Th2,MSR1,37.75003269
tAge,Th2,MTA3,-0.151304696
tAge,Th2,MTFMT,-0.531951443
tAge,Th2,MTUS2,-0.229481457
tAge,Th2,MUC1,2.547014536
tAge,Th2,MUC20-OT1,-0.058233699
tAge,Th2,MYO16,-0.686522689
tAge,Th2,MYO5C,0.68442487
tAge,Th2,N4BP2,0.02665628
tAge,Th2,NAA50,0.052693584
tAge,Th2,NARS2,-0.19804892
tAge,Th2,NCALD,-0.735723736
tAge,Th2,NDRG3,-0.406452013
tAge,Th2,NDUFAF7,0.983320884
tAge,Th2,NEFL,-2.076651167
tAge,Th2,NELL2,0.634544939
tAge,Th2,NEXN-AS1,4.008548853
tAge,Th2,NFATC2IP,0.61037385
tAge,Th2,NINJ2,0.269990151
tAge,Th2,NIPA1,-1.607078324
tAge,Th2,NIPSNAP3A,3.350962306
tAge,Th2,NIT1,3.478934517
tAge,Th2,NLRC4,-9.532684714
tAge,Th2,NMNAT3,-0.077878978
tAge,Th2,NOB1,-1.558330258
tAge,Th2,NOXO1,-2.572637288
tAge,Th2,NPIPB9,-6.837106695
tAge,Th2,NPR2,-1.465403187
tAge,Th2,NSD2,0.698554372
tAge,Th2,NSD3,0.633906445
tAge,Th2,NSMF,2.097019842
tAge,Th2,NT5C,2.165209698
tAge,Th2,NUCB1,1.583780112
tAge,Th2,NUTM2G,11.08305218
tAge,Th2,OBSCN,-3.521729379
tAge,Th2,OGFOD2,1.503014914
tAge,Th2,OMG,2.632403156
tAge,Th2,OR6C70,16.70943523
tAge,Th2,ORAI2,1.851467412
tAge,Th2,ORM2,-63.44192894
tAge,Th2,OTOR,-0.422687197
tAge,Th2,OTUD4,0.368231072
tAge,Th2,OTULIN,1.128563984
tAge,Th2,OVCA2,-11.05642236
tAge,Th2,PACS1,-1.395221932
tAge,Th2,PACSIN1,-7.678543768
tAge,Th2,PACSIN2,-0.053454605
tAge,Th2,PARP11,0.230094716
tAge,Th2,PAWR,-3.435623853
tAge,Th2,PCBD2,0.365643474
tAge,Th2,PCBP4,4.042323062
tAge,Th2,PCDHGA11,18.12178965
tAge,Th2,PCSK5,1.482349114
tAge,Th2,PDIA6,-1.149658993
tAge,Th2,PDZD2,-0.147253644
tAge,Th2,PER3,-0.639167856
tAge,Th2,PGAM5,0.967259774
tAge,Th2,PGS1,0.005264745
tAge,Th2,PHETA2,1.562648104
tAge,Th2,PHLDA2,1.733540089
tAge,Th2,PHPT1,1.776014593
tAge,Th2,PIK3AP1,-2.756581786
tAge,Th2,PIM1,1.603380898
tAge,Th2,PITPNB,0.242452431
tAge,Th2,PITPNC1,-0.248640114
tAge,Th2,PKIA,-0.198037856
tAge,Th2,PLCB1,-0.804161217
tAge,Th2,PLEKHG2,0.056544669
tAge,Th2,PLET1,-2.136272704
tAge,Th2,PLOD3,0.873341971
tAge,Th2,PLPP1,1.110230506
tAge,Th2,PLS3,-5.438684076
tAge,Th2,PLXNA2,-0.163029972
tAge,Th2,PLXNA4,0.451272757
tAge,Th2,PMS1,0.148324329
tAge,Th2,PNMA2,161.093425
tAge,Th2,PPARG,1.077998867
tAge,Th2,PPCS,-0.229612672
tAge,Th2,PPP1R26-AS1,-2.788038169
tAge,Th2,PPP1R8,0.290096892
tAge,Th2,PPP2R3A,-0.072947834
tAge,Th2,PPP2R5E,0.001275555
tAge,Th2,PRC1-AS1,-2.552124529
tAge,Th2,PRKD3,-0.826643815
tAge,Th2,PROSER2-AS1,28.3079267
tAge,Th2,PRPS1,-1.164303681
tAge,Th2,PRR33,31.53168916
tAge,Th2,PRRX2,-11.63159703
tAge,Th2,PRSS2,0.868197112
tAge,Th2,PSMA1,1.218431967
tAge,Th2,PSMA3,0.849040316
tAge,Th2,PSPH,5.731858539
tAge,Th2,PTPRJ,0.821442112
tAge,Th2,PTPRM,-0.712245668
tAge,Th2,PTRH1,-1.744452785
tAge,Th2,RAB36,14.53969373
tAge,Th2,RAB3B,-16.49281525
tAge,Th2,RAB6C,116.511009
tAge,Th2,RABGEF1,-2.78530117
tAge,Th2,RBMS3,-2.294305774
tAge,Th2,RCAN2,8.640144024
tAge,Th2,RCHY1,0.744446486
tAge,Th2,RECK,-1.159205983
tAge,Th2,RENBP,7.135959456
tAge,Th2,RER1,0.512214959
tAge,Th2,REXO5,-5.896519273
tAge,Th2,RHEBL1,3.080565012
tAge,Th2,RIBC1,-8.084104431
tAge,Th2,RIMS2,1.293746673
tAge,Th2,RIPK1,0.782804651
tAge,Th2,RMND5A,0.095075211
tAge,Th2,RNF144A,-0.68629565
tAge,Th2,RNF212B,-10.5700474
tAge,Th2,RNF215,0.700658449
tAge,Th2,ROR1,-7.501009716
tAge,Th2,RPL24,0.183489968
tAge,Th2,RPL27A,0.332292784
tAge,Th2,RPS15,0.437747343
tAge,Th2,RPS18,0.698082104
tAge,Th2,RS1,145.9014866
tAge,Th2,RTN4RL2,-16.84052127
tAge,Th2,RUFY3,-1.2165432
tAge,Th2,RXRA,4.097547818
tAge,Th2,RYR2,0.011749613
tAge,Th2,SAPCD2,5.175772163
tAge,Th2,SBF2,-0.031835878
tAge,Th2,SBNO1,-0.224754785
tAge,Th2,SBNO2,0.36259001
tAge,Th2,SBSPON,-28.13134812
tAge,Th2,SCRN1,-2.503142728
tAge,Th2,SDC3,-40.57842741
tAge,Th2,SDHA,0.587657186
tAge,Th2,SEC14L3,56.72707181
tAge,Th2,SEMA3B,-7.48286136
tAge,Th2,SENP2,1.131801166
tAge,Th2,SEPSECS,0.905467711
tAge,Th2,SESN1,-0.464815204
tAge,Th2,SESN3,0.467854613
tAge,Th2,SESTD1,-0.542591668
tAge,Th2,SEZ6L,16.3162881
tAge,Th2,SH3BGR,1.073952362
tAge,Th2,SHB,29.35994289
tAge,Th2,SHC4,12.68647651
tAge,Th2,SHROOM1,3.809533918
tAge,Th2,SIGIRR,0.801702445
tAge,Th2,SIPA1,1.131546488
tAge,Th2,SKA1,-1.245750892
tAge,Th2,SKAP1-AS1,-1.654553702
tAge,Th2,SLC1A4,0.837242441
tAge,Th2,SLC22A14,2.18308121
tAge,Th2,SLC25A11,0.471371069
tAge,Th2,SLC26A5,2.373480336
tAge,Th2,SLC28A1,13.36376134
tAge,Th2,SLC30A3,-17.52924512
tAge,Th2,SLC36A4,1.139097195
tAge,Th2,SLC39A9,1.393352562
tAge,Th2,SLC6A9,52.02191018
tAge,Th2,SLC9B2,0.337907846
tAge,Th2,SLCO5A1,-1.241719922
tAge,Th2,SLCO6A1,72.45138141
tAge,Th2,SMAD5,-0.585991749
tAge,Th2,SMAD9,12.96211475
tAge,Th2,SMKR1,-1.877100059
tAge,Th2,SNAP25,27.69587862
tAge,Th2,SNRPD2,1.017372733
tAge,Th2,SNTG2,1.797802402
tAge,Th2,SNX7,-2.17729448
tAge,Th2,SOBP,5.856276226
tAge,Th2,SORCS3,1.994998226
tAge,Th2,SPAG1,1.593033272
tAge,Th2,SPART,0.462060116
tAge,Th2,SPATA32,-0.21412409
tAge,Th2,SPATA41,7.819941158
tAge,Th2,SPECC1,-0.429662017
tAge,Th2,SPEF2,1.549368164
tAge,Th2,SPOCK1,-1.942673584
tAge,Th2,SREBF1,2.870905059
tAge,Th2,SRRM5,7.103509801
tAge,Th2,SRSF10,-0.964343018
tAge,Th2,ST8SIA1,0.716622516
tAge,Th2,ST8SIA6,0.303771736
tAge,Th2,STARD6,-5.081260251
tAge,Th2,STAT4,0.670934724
tAge,Th2,STK26,-2.237838771
tAge,Th2,STOML3,59.52813655
tAge,Th2,STON1,-7.805395455
tAge,Th2,STRIP2,5.201724346
tAge,Th2,STUB1,0.873315317
tAge,Th2,STX11,1.220529667
tAge,Th2,STX18,0.191824884
tAge,Th2,STYK1,0.236620015
tAge,Th2,SUFU,-1.907635269
tAge,Th2,SUPT3H,1.408789169
tAge,Th2,SUSD2,12.65115618
tAge,Th2,SUSD5,16.38641092
tAge,Th2,SV2B,10.12627279
tAge,Th2,SYCP2,-0.843732791
tAge,Th2,SYNE2,0.895270109
tAge,Th2,SYNJ2BP-COX16,1.915703869
tAge,Th2,SYNPR,-4.825668874
tAge,Th2,SYT6,14.26431494
tAge,Th2,TAB2,0.850015652
tAge,Th2,TACR2,17.0179474
tAge,Th2,TAGAP,-0.87969259
tAge,Th2,TAS2R4,0.243294124
tAge,Th2,TBC1D22B,0.628143487
tAge,Th2,TBC1D4,-0.548725315
tAge,Th2,TBCB,0.907811872
tAge,Th2,TBCC,-2.332371477
tAge,Th2,TCF19,-1.542930229
tAge,Th2,TCF4,-2.164254846
tAge,Th2,TCN2,40.60112267
tAge,Th2,TEX30,-4.10664095
tAge,Th2,TFAP2E,0.083108971
tAge,Th2,TFG,0.899859853
tAge,Th2,TGFA,-0.971845258
tAge,Th2,THEMIS,1.545149052
tAge,Th2,THTPA,-4.28154122
tAge,Th2,TIGD3,-12.22847414
tAge,Th2,TIMM23,1.973495014
tAge,Th2,TIMP1,1.466721389
tAge,Th2,TLE1,-3.752884522
tAge,Th2,TMC2,60.88281973
tAge,Th2,TMC6,0.379127596
tAge,Th2,TMEM135,1.110836939
tAge,Th2,TMEM147,-0.617519454
tAge,Th2,TMEM150B,129.345823
tAge,Th2,TMEM151A,12.75097373
tAge,Th2,TMEM167B,0.608825512
tAge,Th2,TMEM175,0.252224182
tAge,Th2,TMEM266,15.23558275
tAge,Th2,TMEM39B,-3.133595604
tAge,Th2,TMEM59L,121.7363241
tAge,Th2,TMSB10,0.179854075
tAge,Th2,TNFAIP8,-0.721931776
tAge,Th2,TNIK,0.073326774
tAge,Th2,TNRC6C,-0.100517534
tAge,Th2,TNS4,8.224467787
tAge,Th2,TOE1,-2.65660763
tAge,Th2,TOX,-0.075123003
tAge,Th2,TPRG1,1.496227284
tAge,Th2,TPST2,0.151496754
tAge,Th2,TRAF3IP1,0.884728607
tAge,Th2,TRAJ49,1.982387514
tAge,Th2,TRAV3,-1.109865721
tAge,Th2,TRBJ1-6,-51.67183771
tAge,Th2,TRBV12-5,5.654629977
tAge,Th2,TRBV6-1,-2.659133776
tAge,Th2,TRDC,-2.562421126
tAge,Th2,TREML1,-9.190677723
tAge,Th2,TRIM2,-0.140825242
tAge,Th2,TRIM26,-0.847669075
tAge,Th2,TRPS1,0.08883364
tAge,Th2,TSPAN1,-34.42024563
tAge,Th2,TSPAN14,-0.111480328
tAge,Th2,TSPAN18,0.316082468
tAge,Th2,TSPAN32,1.205965906
tAge,Th2,TSPAN4,1.944168636
tAge,Th2,TST,-33.2487689
tAge,Th2,TTN-AS1,1.207146142
tAge,Th2,TTTY10,0.918483031
tAge,Th2,TUBB3,34.75229328
tAge,Th2,TUT1,3.617094054
tAge,Th2,UBE2E3,-0.91530165
tAge,Th2,UBE2H,-0.351831164
tAge,Th2,UBXN1,-0.120467621
tAge,Th2,UBXN11,0.348455114
tAge,Th2,UGGT1,1.038240353
tAge,Th2,USP49,0.506348802
tAge,Th2,USP9Y,0.069126166
tAge,Th2,UXT,-0.257542848
tAge,Th2,VAC14-AS1,48.69922516
tAge,Th2,VAMP3,-2.009197512
tAge,Th2,VAMP8,2.046522404
tAge,Th2,VCAM1,32.12484031
tAge,Th2,VIL1,9.507500622
tAge,Th2,VMO1,103.1268625
tAge,Th2,VPS13B,1.30679239
tAge,Th2,VPS13C,0.854349902
tAge,Th2,VPS37C,-3.636224064
tAge,Th2,VWCE,-11.761975
tAge,Th2,WDR6,1.272626349
tAge,Th2,WDR7,0.243806249
tAge,Th2,WEE2,1.779028838
tAge,Th2,WNK1,0.340161473
tAge,Th2,WWTR1,1.806017
tAge,Th2,XKRX,3.167836946
tAge,Th2,XRCC6,-0.389457387
tAge,Th2,XYLB,2.016193575
tAge,Th2,XYLT1,-0.522532113
tAge,Th2,YWHAB,-0.822169584
tAge,Th2,YWHAE,0.086317733
tAge,Th2,ZBTB16,-0.109005378
tAge,Th2,ZBTB2,0.874128445
tAge,Th2,ZBTB20-AS5,-1.440997098
tAge,Th2,ZFHX3,-2.305130127
tAge,Th2,ZFYVE1,-0.115640573
tAge,Th2,ZNF213,5.067120752
tAge,Th2,ZNF22,-0.225232437
tAge,Th2,ZNF295-AS1,-6.430819229
tAge,Th2,ZNF30-AS1,7.324054029
tAge,Th2,ZNF333,-1.070050267
tAge,Th2,ZNF347,-0.791079327
tAge,Th2,ZNF426,0.781102976
