gene,tissue_context,avg_log2fc,p_val_adj
Dapk2,lung_p21plus_old,-1.04334331581972,1.11052672237676e-39
Gramd2,lung_p21plus_old,-1.04726409358601,6.23264640858858e-32
Trpm6,lung_p21plus_old,-1.05024785184486,2.66492909504626e-42
Aldh1a1,lung_p21plus_old,-1.05097287399704,4.07189641126034e-10
Cyp2b10,lung_p21plus_old,-1.06221838478563,7.46294198783374e-30
Kctd8,lung_p21plus_old,-1.07179709106373,1.90945609024055e-22
Ank3,lung_p21plus_old,-1.07335120259588,1.011809446391e-23
Aox3,lung_p21plus_old,-1.07818110852786,3.10935730776233e-23
Myo1b,lung_p21plus_old,-1.09186609869538,2.88950579690885e-28
5330417C22Rik,lung_p21plus_old,-1.12085151812761,1.40308682327441e-25
Prdx6,lung_p21plus_old,-1.12878134963212,1.93389252229264e-24
Enah,lung_p21plus_old,-1.16308358290661,1.25326492867289e-16
Ccdc129,lung_p21plus_old,-1.18526215831641,1.51975649805435e-19
Osbpl6,lung_p21plus_old,-1.19892621759541,3.1344897688159e-35
Kcnk2,lung_p21plus_old,-1.24198237930199,5.76640172937298e-15
Acoxl,lung_p21plus_old,-1.24593962183746,6.33866592996425e-10
Fmo3,lung_p21plus_old,-1.27575754091833,2.23149527578825e-10
Errfi1,lung_p21plus_old,-1.29041551087123,1.19060408961144e-26
Limch1,lung_p21plus_old,-1.30599958363511,6.09056151850862e-29
Alcam,lung_p21plus_old,-1.32369329242715,2.27460643193153e-47
Rtkn2,lung_p21plus_old,-1.55944034304549,0.0008061350352314
Nebl,lung_p21plus_old,-1.57030271014653,2.26166188209884e-56
Col23a1,lung_p21plus_old,-1.57435359443768,1.45434676208255e-38
Mecom,lung_p21plus_old,-1.65580734308146,5.7417628088438e-64
,lung_p21plus_old,,
,lung_p21plus_old,,
,lung_p21plus_old,,
,lung_p21plus_old,,
,lung_p21plus_old,,
