symbol,uniprot_id,log2_age4_over_age1,adj_p_val,cluster
OCIAD2,Q56VL3,-0.861922106802744,1.20462718169347e-05,Decreased in senescence
ORC6,Q9Y5N6,-0.464004559718735,0.00879174311243966,Decreased in senescence
OTUD5,Q96G74,-0.33313815090332,0.00848338569945357,Decreased in senescence
PCDHGB5,Q9Y5G0,-0.698049439414135,0.00646363267988046,Decreased in senescence
PDE1C,Q14123,-0.689768698853175,0.000637030767251514,Decreased in senescence
PDLIM3,Q53GG5,-1.02876315595341,0.000119236439461064,Decreased in senescence
PHETA2,Q6ICB4,-0.477098281302535,0.00411098594538545,Decreased in senescence
PHF19,Q5T6S3,-0.392943784509704,0.00141539139012317,Decreased in senescence
PLIN2,Q99541,-1.36604733949692,6.30024987930267e-05,Decreased in senescence
PNPLA4,P41247,-1.568086357884,0.000313865456399877,Decreased in senescence
PPP1R13L,Q8WUF5,-0.911537327390157,4.79321214015764e-05,Decreased in senescence
PRRX2,Q99811,-1.06973087335623,0.00108179685321149,Decreased in senescence
PRXL2A,Q9BRX8,-2.77865151795296,4.95577139190113e-05,Decreased in senescence
QNG1,Q5T6V5,-0.783305377943201,0.000111744768712558,Decreased in senescence
RAD51,Q06609,-0.679955540681625,0.00760439977478478,Decreased in senescence
RAD51AP1,Q96B01,-0.583150586876979,0.000442362781382763,Decreased in senescence
RCCD1,A6NED2,-0.579018977701317,0.000742523824799434,Decreased in senescence
RECQL4,O94761,-0.343568397704022,0.00303276610365075,Decreased in senescence
RNASEH2C,Q8TDP1,-0.344576170804615,0.00617681743380035,Decreased in senescence
SEL1L3,Q68CR1,-0.600015267521691,0.00355078474529592,Decreased in senescence
SET,Q01105,-0.61396389256171,0.00059070539104005,Decreased in senescence
SGO2,Q562F6,-0.354583157267797,0.00950181290549959,Decreased in senescence
SKA1,Q96BD8,-0.554999201430459,0.000261511079642027,Decreased in senescence
SKA3,Q8IX90,-0.338712434383879,0.00817469335980598,Decreased in senescence
SKI,P12755,-0.422756584782789,0.00233111100416714,Decreased in senescence
SKIL,P12757,-0.666523178852804,0.000889598190691753,Decreased in senescence
SLC12A7,Q9Y666,-0.629374517133865,0.000210122252347713,Decreased in senescence
SLC2A12,Q8TD20,-0.788160998298551,0.00253900126864801,Decreased in senescence
SLC38A5,Q8WUX1,-1.19280024895459,1.97634184219472e-05,Decreased in senescence
SLC7A11,Q9UPY5,-0.70464680033394,0.000364998642421424,Decreased in senescence
SLC7A14,Q8TBB6,-0.603270507986903,0.00630285419795307,Decreased in senescence
SLC7A2,P52569,-1.61232846732941,1.20462718169347e-05,Decreased in senescence
SMCR8,Q8TEV9,-0.382568093735877,0.00427333043698047,Decreased in senescence
SNCG,O76070,-1.83943513946729,0.000168785810048198,Decreased in senescence
SPDL1,Q96EA4,-0.384001623010946,0.00603809682587845,Decreased in senescence
SPHK1,Q9NYA1,-0.475759004577693,0.00141649937884749,Decreased in senescence
SSBP3,Q9BWW4,-0.45894007887647,0.00569934238794916,Decreased in senescence
STIL,Q15468,-0.60940775449423,0.0017030084278284,Decreased in senescence
TCF12,Q99081,-0.519282088335153,0.00214951405609617,Decreased in senescence
TES,Q9UGI8,-0.452492941057756,0.00272977963165063,Decreased in senescence
TGFB1,P01137,-0.325280605672688,0.00376931983575899,Decreased in senescence
THBS2,P35442,-0.797510862856829,0.00188800359912806,Decreased in senescence
TIPIN,Q9BVW5,-0.414369048020159,0.00324033559722295,Decreased in senescence
TSPYL5,Q86VY4,-0.8403778270274,9.96380413869021e-05,Decreased in senescence
TXNDC16,Q9P2K2,-0.422628454563224,0.00435013655667564,Decreased in senescence
TXNRD1,Q16881,-0.358390976063415,0.00194371894266298,Decreased in senescence
UBE2T,Q9NPD8,-0.529890009281342,0.00615446482363042,Decreased in senescence
UHRF1,A0A087WVR3,-0.377185208539441,0.00204464658024122,Decreased in senescence
ZFHX4,Q86UP3,-1.15821197324828,1.20462718169347e-05,Decreased in senescence
ZMYND19,Q96E35,-0.450218518316973,0.0025625912234677,Decreased in senescence
ZNF185,O15231,-1.39109641066968,6.6182593901101e-06,Decreased in senescence
AASS,Q9UDR5,0.523503369324843,0.000236425497322151,Increased in senescence
ABCA1,O95477,0.883564938725549,4.08430176151099e-05,Increased in senescence
ABCB10,Q9NRK6,0.48290650100547,0.00154466369830461,Increased in senescence
ABCC10,Q5T3U5,0.393932047676451,0.0021713558892392,Increased in senescence
ABCC4,O15439,0.424093945699177,0.00198453681580578,Increased in senescence
ABCC5,O15440,0.422535041211518,0.00585466690709494,Increased in senescence
ABCD1,P33897,0.658408229839274,0.000146758692917151,Increased in senescence
ABCD3,P28288,0.328315013688481,0.00140214583818159,Increased in senescence
ABHD12,Q8N2K0,0.509941983758065,0.000110442917677721,Increased in senescence
ACAA1,P09110,0.598404111230884,0.000153140953046674,Increased in senescence
ACAD10,Q6JQN1,0.372452097282551,0.00116364547995755,Increased in senescence
ACAD11,Q709F0,0.487209611700472,0.0012009163741102,Increased in senescence
ACAD8,Q9UKU7,0.38918360549177,0.00493196485371966,Increased in senescence
ACADSB,P45954,0.349222637246413,0.00546597892976809,Increased in senescence
ACO2,Q99798,0.403554859406665,0.000382085508318252,Increased in senescence
ACOT1,Q86TX2,0.689841514469315,0.00749804623363104,Increased in senescence
ACOT13,Q9NPJ3,0.359569332057745,0.0023349875822956,Increased in senescence
ACOT8,O14734,0.409747376709671,0.00278017230940647,Increased in senescence
ACOT9,Q9Y305,0.415672262300085,0.00126549481625477,Increased in senescence
ACOX3,O15254,0.616139133374759,0.000218031820214845,Increased in senescence
ACSF2,Q96CM8,0.499238666271282,0.000356234384174452,Increased in senescence
ACSF3,Q4G176,0.351964589145531,0.00538289579987502,Increased in senescence
ACSS2,Q9NR19,0.490608237265882,0.000393582001644687,Increased in senescence
ACTR1B,P42025,0.479477690722817,0.00299578608939617,Increased in senescence
ACYP2,P14621,0.529248717860263,0.00291733241416159,Increased in senescence
ADAMTS1,Q9UHI8,0.40456099957353,0.00236243987035656,Increased in senescence
ADCY6,O43306,0.414352463494602,0.00394585873276436,Increased in senescence
ADCY7,P51828,0.606240826343377,0.00409895905874328,Increased in senescence
ADCY9,O60503,0.3289300499865,0.00457177876706707,Increased in senescence
ADO,Q96SZ5,0.33099356106586,0.00590904016504232,Increased in senescence
ADPRM,Q3LIE5,0.659508535634922,0.00206278037392919,Increased in senescence
AFF3,P51826,0.8228740457354,0.00360476843897128,Increased in senescence
AGAP1,Q9UPQ3,0.42975090811359,0.00201084150010774,Increased in senescence
AGK,Q53H12,0.354006025201706,0.000727055973697833,Increased in senescence
AGL,P35573,0.333371855506872,0.00376931983575899,Increased in senescence
AGPAT3,Q9NRZ7,0.38928849442161,0.0012009163741102,Increased in senescence
AGPS,O00116,0.324297346185617,0.00139568604944036,Increased in senescence
AGRN,O00468,0.932446566080554,1.14258879429146e-05,Increased in senescence
AHCYL2,Q96HN2,0.530664302264295,0.00571260907326059,Increased in senescence
AHNAK2,Q8IVF2,0.365442008040837,0.00314008657786623,Increased in senescence
AK2,P54819,0.48413917986899,0.000627830324752584,Increased in senescence
AK3,Q9UIJ7,0.614050046165978,0.000210122252347713,Increased in senescence
AK5,Q9Y6K8,0.451983521126834,0.000992376165635484,Increased in senescence
AKAP10,O43572,0.332553586529478,0.00360476843897128,Increased in senescence
ALDH18A1,P54886,0.338671178052834,0.00179334407005064,Increased in senescence
ALDH1B1,P30837,0.473162357509015,0.000599247699751279,Increased in senescence
ALDH1L2,Q3SY69,0.671212593731003,0.000261511079642027,Increased in senescence
ALDH2,P05091,0.674805962751364,0.000217772288029184,Increased in senescence
ALDH3B1,P43353,0.715134864423987,0.00231513705387644,Increased in senescence
ALDH4A1,P30038,0.372993907766588,0.00175990703312694,Increased in senescence
ALDH6A1,Q02252,0.524118825667365,0.00382560067574694,Increased in senescence
ALG11,Q2TAA5,0.390547505771064,0.00258171912198767,Increased in senescence
ALG3,Q92685,0.36222338369604,0.00535388166980098,Increased in senescence
ALKBH5,Q6P6C2,0.380188397821293,0.00781679711402928,Increased in senescence
ALPK2,Q86TB3,0.714053831528958,0.00892955161307413,Increased in senescence
AMACR,Q9UHK6,0.460559058789194,0.00991564966162408,Increased in senescence
AMPD3,Q01432,0.56763865245183,0.00383739556353161,Increased in senescence
AMPH,P49418,0.778844862071502,0.000811653718150676,Increased in senescence
ANKH,Q9HCJ1,0.468097330537816,0.00617302999350303,Increased in senescence
ANKRD27,Q96NW4,0.351529335280688,0.00522687279019296,Increased in senescence
ANKRD28,O15084,0.332106879707581,0.0037696245309752,Increased in senescence
ANO10,Q9NW15,0.458634307806943,0.000224642545014352,Increased in senescence
ANO8,Q9HCE9,0.479043999956033,0.00332793460906154,Increased in senescence
ANPEP,P15144,0.564770281413523,0.000266881930321696,Increased in senescence
ANXA11,P50995,0.361871371839779,0.000988999643366294,Increased in senescence
ANXA4,P09525,0.441136806653041,0.00133591381313013,Increased in senescence
AP1S1,P61966,0.347763601414254,0.00428304353846555,Increased in senescence
AP2A2,O94973,0.345524471933189,0.00126549481625477,Increased in senescence
AP3M1,Q9Y2T2,0.366319187417385,0.00104649464136145,Increased in senescence
AP5M1,Q9H0R1,0.4543965154228,0.0049708918803247,Increased in senescence
APOL2,Q9BQE5,0.540343858582837,0.000491595631975044,Increased in senescence
APPBP2,Q92624,0.345784563854092,0.0036632624436575,Increased in senescence
APTX,Q7Z2E3,0.362262036657924,0.00783572589420719,Increased in senescence
ARAP1,Q96P48,0.325834374059607,0.00155113933415194,Increased in senescence
ARB2A,Q8WUF8,0.363149163993793,0.00343649456042684,Increased in senescence
ARHGAP10,A1A4S6,0.36570550321456,0.000988999643366294,Increased in senescence
ARHGAP29,Q52LW3,0.532243351390786,0.000224642545014352,Increased in senescence
ARHGEF28,Q8N1W1,0.919124351927913,0.00023817339733239,Increased in senescence
ARID3A,Q99856,0.51926838610165,0.000224642545014352,Increased in senescence
ARL6IP5,O75915,0.340395246178044,0.00232773780397359,Increased in senescence
ARL8A,Q96BM9,0.411938141503576,0.00207161478393091,Increased in senescence
ARMC10,Q8N2F6,0.372299212578032,0.00331659545736294,Increased in senescence
ARMCX1,Q9P291,0.340456311280018,0.00316463689244504,Increased in senescence
ARMCX2,Q7L311,0.336228142349224,0.000880481480758557,Increased in senescence
ARMH3,Q5T2E6,0.355636961433287,0.000889598190691753,Increased in senescence
ARPC3,O15145,0.349923027237026,0.00892955161307413,Increased in senescence
ARRB1,P49407,0.633230477929644,0.000643020763009683,Increased in senescence
ARRDC1,Q8N5I2,0.345578711268619,0.00439472651770834,Increased in senescence
ARSA,P15289,0.788668496480177,5.23353326670812e-05,Increased in senescence
ARSK,Q6UWY0,0.380019834559981,0.0020713407772555,Increased in senescence
ASAH1,Q13510,0.508785309951698,0.00112600588795887,Increased in senescence
ASAP2,O43150,0.367596818607765,0.0032738679663715,Increased in senescence
ASS1,P00966,0.549770219334583,0.00858690582227653,Increased in senescence
ATAD1,Q8NBU5,0.34611062874108,0.00184243120363354,Increased in senescence
ATL1,Q8WXF7,0.384918145787505,0.000842777806229428,Increased in senescence
ATM,Q13315,0.324289233734927,0.00544503708515482,Increased in senescence
ATP11B,Q9Y2G3,0.360916295837203,0.00405034534159132,Increased in senescence
ATP12A,P54707,0.941076073411413,0.00358567519573483,Increased in senescence
ATP2B1,P20020,0.409471927893669,0.000729184640271672,Increased in senescence
ATP5F1D,P30049,0.343960119946356,0.00265334548729849,Increased in senescence
ATP5IF1,Q9UII2,1.21060051163898,0.00800854148446412,Increased in senescence
ATP5MK,Q96IX5,0.672462966380465,0.00313301126578222,Increased in senescence
ATP6V0C,P27449,0.512093127094445,0.00498850429434801,Increased in senescence
ATP6V1A,P38606,0.366167165253735,0.00198453681580578,Increased in senescence
ATP6V1F,Q16864,0.396564970153729,0.00299578608939617,Increased in senescence
ATP6V1G1,O75348,0.413454304090919,0.00151675188552035,Increased in senescence
ATP6V1H,Q9UI12,0.412215290940978,0.000563871641153637,Increased in senescence
ATP7A,Q04656,0.355665071236977,0.00158574514525229,Increased in senescence
ATP8,P03928,0.507572460224488,0.00376931983575899,Increased in senescence
ATP8B1,O43520,0.352241853758908,0.00266398712447715,Increased in senescence
ATP9A,O75110,0.389850275316956,0.00146274950576745,Increased in senescence
B3GALT6,Q96L58,0.36075284387946,0.00234869060938804,Increased in senescence
B3GNT9,Q6UX72,0.41260741276837,0.00422716300424227,Increased in senescence
BABAM2,Q9NXR7,0.412221421906906,0.00348483900415484,Increased in senescence
BAG2,O95816,0.417029351256758,0.00240084199867191,Increased in senescence
BAIAP2L1,Q9UHR4,1.17635599630255,1.20462718169347e-05,Increased in senescence
BBS9,Q3SYG4,0.694175831411872,0.000378274683815821,Increased in senescence
