Species,order,CMR,ICM,lifeexp,FemaleMeanMass,MaleMeanMass,Animal,Vertebrate,Invertebrate,Fish,Herptile,Bird,Mammal
Bison_bison,Artiodactyla,0.054794520547945,0.052497735032763,4678.86834381364,486.8670857609,777.241032115523,0,0,0,0,0,0,0
Bison_bonasus,Artiodactyla,0.040816326530612,0.044552122338675,4130.21583591787,351.820512820513,627.586666666667,0,0,0,0,0,0,0
Boselaphus_tragocamelus,Artiodactyla,0.05,0.04946583744254,3532.20466897627,177.587741935484,229.764993575758,0,0,0,0,0,0,0
Budorcas_taxicolor,Artiodactyla,0.035714285714286,0.006254346333472,4042.37913060666,234.843522707183,342.222271763136,0,0,0,0,0,0,0
Callimico_goeldii,Primates,0.067415730337079,0.18249573054225,3343.53723958506,0.571607038159162,0.555247200292765,1,1,1,0,0,0,0
Callithrix_geoffroyi,Primates,0.019607843137255,0.013915598272267,2387.153122032,0.484275968963993,0.441633216938743,1,1,1,0,1,0,0
Callithrix_jacchus,Primates,0.024590163934426,0.013273726679573,2542.33103517423,0.392239050062661,0.371186543799908,1,1,1,0,1,0,0
Callosciurus_prevostii,Rodentia,0.066666666666667,0.084352151208492,2386.6546562064,0.485226853981418,0.484492997523585,0,0,0,0,0,0,0
Canis_rufus,Carnivora,0.258064516129032,0.327317479304229,3223.18926638296,23.4313370678669,27.439684656214,1,1,0,0,0,0,1
Capra_caucasica,Artiodactyla,0,0,2178.0434621122,47.7229294608696,83.3303732363636,0,0,0,0,0,0,0
Capra_falconeri,Artiodactyla,0.013698630136986,0.115653845803785,2226.84627571759,34.769249978,60.8024873347079,0,0,0,0,0,0,0
Capra_ibex,Artiodactyla,0,0,2727.22149061549,37.359512195122,73.9619266055046,0,0,0,0,0,0,0
Capra_nubiana,Artiodactyla,0.041666666666667,0.029145659881091,2301.50124135032,28.0795808291197,53.7217812540755,0,0,0,0,0,0,0
Caracal_caracal,Carnivora,0.095238095238095,0.134464693009874,3492.11736904947,10.5105069418393,13.7723705239796,1,1,0,0,0,1,1
Carollia_perspicillata,Chiroptera,0,0,2015.10937329423,0.017389416941694,0.017703259668508,1,0,1,0,0,0,0
Cebuella_pygmaea,Primates,0.024390243902439,0.070562113532961,2158.8957502241,0.152299320599165,0.140167786307656,1,0,1,0,0,0,0
Cercopithecus_neglectus,Primates,0.125,0.077944936087586,4767.77457854862,6.36822526181552,10.8897022069514,0,0,0,0,0,0,0
Cervus_canadensis,Artiodactyla,0,0,4139.7418446004,295.596873300896,349.817043081272,NA,NA,NA,NA,NA,NA,NA
Cervus_elaphus,Artiodactyla,0,0,3589.91798363866,203.42429010989,160.280249568627,0,0,0,0,0,0,0
Cervus_nippon,Artiodactyla,0.016393442622951,0.012411961640186,2727.22840412058,57.5403702931507,80.3558106498423,0,0,0,0,0,0,0
Choloepus_didactylus,Pilosa,0.045454545454546,NA,6523.60970820411,9.19923824511945,8.34654395494272,0,0,0,0,0,0,0
Chrysocyon_brachyurus,Carnivora,0.128571428571429,0.132412184051309,3063.38031079222,24.5644875781859,27.239377326341,1,1,1,0,1,1,1
Colobus_guereza,Primates,0.037974683544304,0.013891198273739,4653.30622733336,10.9150372386229,12.8546253654651,0,0,0,0,0,0,0
Connochaetes_gnou,Artiodactyla,0,0,3279.06804042232,128.85625,134.18445,0,0,0,0,0,0,0
Connochaetes_taurinus,Artiodactyla,0.009345794392523,0.00785641445578,3117.77982736111,170.065872285714,219.657279565891,0,0,0,0,0,0,0
Cricetus_cricetus,Rodentia,0.208333333333333,0.14883081402403,922.54398277589,0.235991609967147,0.300108724962894,1,1,1,0,1,0,0
Ctenodactylus_gundi,Rodentia,0.03125,0.013671068651592,1222.43516112015,0.287806338028169,0.273916216216216,0,0,0,0,0,0,0
Cuon_alpinus,Carnivora,0.142857142857143,0.177073509552946,2870.33625617234,18.6345980336842,21.196169501599,1,1,1,0,0,0,1
Cynictis_penicillata,Carnivora,0.096774193548387,0.03345828560415,2953.93406259855,1.07884006968641,1.07790423357664,1,1,1,0,1,1,1
Cynomys_ludovicianus,Rodentia,0.161290322580645,NA,1838.3054654324,0.986200629340145,1.03518322941788,0,0,0,0,0,0,0
Dama_dama,Artiodactyla,0.020689655172414,0.013101833525376,2732.30499762007,46.0267876250825,63.5918397910204,0,0,0,0,0,0,0
Dama_mesopotamica,Artiodactyla,0.1,0.151589946348113,3096.05985779948,59.594,87.7642857142857,0,0,0,0,0,0,0
Damaliscus_pygargus,Artiodactyla,0,0,2480.66484570516,70.5924805589744,71.9203886640394,0,0,0,0,0,0,0
Dasyprocta_azarae,Rodentia,0,0,2752.38372532951,3.10185964912281,3.19951401869159,0,0,0,0,0,0,0
Dasyprocta_leporina,Rodentia,0.029411764705882,0.060117746915361,2236.382670604,3.47528980996805,3.20842234843055,0,0,0,0,0,0,0
Dasyuroides_byrnei,Dasyuromorphia,0.571428571428571,0.521034734265634,1030.41678798197,0.116046838817318,0.141640031442786,1,1,1,0,1,1,1
Desmodus_rotundus,Chiroptera,0.076923076923077,0.154788833217178,3650.27141104053,0.034045378486056,0.028017906976744,1,0,0,0,0,0,0
Dolichotis_patagonum,Rodentia,0,0,1834.75891853905,7.5828556187668,7.67676322171759,0,0,0,0,0,0,0
Echinops_telfairi,Afrosoricida,0.057142857142857,0.024663393846105,2720.2674454297,0.155030924534894,0.14292813707731,1,1,1,0,0,0,1
Eidolon_helvum,Chiroptera,0.142857142857143,NA,5507.5879883922,0.289043777617329,0.307871294622544,0,0,0,0,0,0,0
Elaphurus_davidianus,Artiodactyla,0.016393442622951,0.013224046412797,3076.13018181994,175.435222773333,209.37625108046,0,0,0,0,0,0,0
Equus_grevyi,Perissodactyla,0.038461538461539,0.02722579200441,4916.47423735011,392.045090086207,386.910478145773,0,0,0,0,0,0,0
Equus_hemionus,Perissodactyla,0.03030303030303,0.015256015695153,4329.81577623696,218.198851202156,227.213071919463,0,0,0,0,0,0,0
Equus_quagga,Perissodactyla,0.009708737864078,0.004859354102569,5446.33765974056,293.096992863804,295.355171288503,0,0,0,0,0,0,0
Equus_zebra,Perissodactyla,0,0,4320.6817507712,335.296517537037,312.660322299543,0,0,0,0,0,0,0
Erythrocebus_patas,Primates,0.058823529411765,0.022632587883959,4237.93748390316,8.06266829967532,12.9097358846029,0,0,0,0,0,0,0
Eudorcas_thomsonii,Artiodactyla,0.038961038961039,0.099225167473585,2162.64295242661,18.6294680357782,22.3168043924845,0,0,0,0,0,0,0
Eulemur_macaco,Primates,0.12,0.150336832918459,5478.83799938604,2.51463000014401,2.41598963940383,0,0,0,0,0,0,0
Felis_margarita,Carnivora,0.121212121212121,0.176869739569311,3559.45973018115,2.4064221210918,3.18021557044097,1,1,0,0,1,1,1
Felis_silvestris,Carnivora,0.025,0.045313037155291,3555.09611101862,3.28902824085581,3.98812903239819,1,1,1,0,1,1,1
Galago_senegalensis,Primates,0,0,2600.14274222025,0.18845373650108,0.229103197132616,1,0,1,0,0,0,0
Gazella_cuvieri,Artiodactyla,0,0,2317.92875782458,23.848028983871,24.6473278321678,0,0,0,0,0,0,0
Gazella_dorcas,Artiodactyla,0.076923076923077,0.111730555244959,2083.33510344548,12.1493332137931,13.9136126923077,0,0,0,0,0,0,0
Gazella_leptoceros,Artiodactyla,0,0,1835.87392291008,13.4990435944334,16.3346898214689,0,0,0,0,0,0,0
Gazella_marica,Artiodactyla,0,NA,2476.21808612643,14.9062208753324,17.5624028580741,NA,NA,NA,NA,NA,NA,NA
Gazella_subgutturosa,Artiodactyla,0,0,1942.63767455886,17.6180144186047,21.1135804736842,0,0,0,0,0,0,0
Giraffa_camelopardalis,Artiodactyla,0.012269938650307,0.010221154301207,4568.43966656261,758.187852001409,1065.00667150705,0,0,0,0,0,0,0
Gorilla_gorilla,Primates,0.045454545454546,NA,10705.0305299776,92.8651567166025,181.055526443705,0,0,0,0,0,0,0
Helogale_parvula,Carnivora,0,0,3156.57149024142,0.448302983456931,0.408508505773196,1,0,1,0,0,0,0
Heterocephalus_glaber,Rodentia,0.023255813953488,NA,4726.02324374578,0.050745332141793,0.045004887283237,0,0,0,0,0,0,0
Hippopotamus_amphibius,Artiodactyla,0,0,11384.9529902454,1413.51204277002,1585.39697502533,0,0,0,0,0,0,0
Hippotragus_equinus,Artiodactyla,0,0,3082.80728276014,218.2562055,268.883018867925,0,0,0,0,0,0,0
Hippotragus_niger,Artiodactyla,0.014084507042254,0.008779767119424,2838.4303492074,187.538008012121,213.563020057971,0,0,0,0,0,0,0
Hydrochoerus_hydrochaeris,Rodentia,0.087837837837838,0.082029929257115,1913.9032672892,50.0683898606018,48.8773209991777,0,0,0,0,0,0,0
Hylobates_lar,Primates,0.125,NA,8411.61637203034,7.43240589385962,7.57204411070134,0,0,0,0,0,0,0
Hystrix_africaeaustralis,Rodentia,0.025,NA,4472.38923696753,16.5553403404699,15.140398517668,0,0,0,0,0,0,0
Hystrix_indica,Rodentia,0.097560975609756,0.067388134371988,4995.70862370371,17.7936121565124,17.433737444259,0,0,0,0,0,0,0
Jaculus_jaculus,Rodentia,0.068965517241379,0.060851498654263,900.4242421704,0.061815322580645,0.063583415841584,0,0,0,0,0,0,0
Kobus_ellipsiprymnus,Artiodactyla,0.014285714285714,0.006972237945793,3330.54660034217,151.281378965517,174.51273504059,0,0,0,0,0,0,0
Kobus_leche,Artiodactyla,0.008064516129032,0.013689477955828,3275.12912626166,71.4019607843137,95.2339821428571,0,0,0,0,0,0,0
Kobus_megaceros,Artiodactyla,0.123076923076923,0.186632937903354,2981.97478719295,66.9086614288725,85.6216657476923,0,0,0,0,0,0,0
Lagurus_lagurus,Rodentia,0.05,0.049309266114132,402.169510119249,0.019682352941177,0.023382352941177,0,0,0,0,0,0,0
Lemur_catta,Primates,0.067729083665339,0.132557755154993,5396.88056623129,2.77732379904672,2.95270085577111,0,0,0,0,0,0,0
Leontopithecus_chrysomelas,Primates,0.070175438596491,0.029339388534458,3777.11399660516,0.741053727689504,0.761651775602978,1,1,1,0,1,0,0
Leontopithecus_rosalia,Primates,0,0,3919.97350432326,0.672724656534843,0.685923453063571,1,1,1,0,1,0,0
Leopardus_pardalis,Carnivora,0.193548387096774,0.155930034289605,5783.08199762622,9.77821095208022,11.919054901381,1,1,0,1,1,1,1
Leptailurus_serval,Carnivora,0.098039215686275,0.15860913212915,4402.01571250025,10.4642785009528,13.3609172021225,1,1,0,0,0,0,1
