compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id
Resveratrol,Drosophila melanogaster,Dahomey,1000 µM,,,-7.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,100 µM,,,-3.7,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,10 µM,,,0,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,32 µM,,,-7.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,3.2 µM,,,-7.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,200 µM,,,0,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1000 µM,,,6.9,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,32 µM,,,-3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1 µM,,,-3.7,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,100 µM,,,-3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,10 µM,,,3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,3.2 µM,,,-3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1000 µM,,,-5.6,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,100 µM,,,2.8,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1 µM,,,6.9,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,200 µM,,,-2.8,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,32 µM,,,-2.8,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,10 µM,,,-5.6,S,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,,,0,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1 µM,,,-5.6,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Dahomey,3.2 µM,,,-2.8,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,,,-2,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,,,2,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,,,-2,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,100 µM,,,0,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,,,8.2,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,,,0,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,100 µM,,,0,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,,,4.5,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,,,-4.5,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,,,9.1,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,,,-4.5,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,,,0,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,,,4.5,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,,,-8.3,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,,,-6.8,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,100 µM,,,2.8,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,,,-2.8,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,,,-13.9,S,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,,,2.8,NS,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,,,-8.3,S,,NA,Male,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,,,-3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,,,-3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,,,-15.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,,,-7.7,S,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,,,0,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,,,-3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,,,0,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,,,3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,,,0,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,100 µM,,,-3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,,,-3.4,S,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,,,-3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,,,-3.4,NS,,NA,Female,,NA,No,17875315
Resveratrol,Caenorhabditis elegans,N2,100 µM,,,3.4,NS,,NA,Unknown,,NA,No,17875315
Resveratrol,Caenorhabditis elegans,N2,100 µM,,,7.5,S,,NA,Unknown,,NA,No,17875315
Resveratrol,Caenorhabditis elegans,N2,100 µM,,,8.1,NS,,NA,Unknown,,NA,No,17875315
Resveratrol,Caenorhabditis elegans,N2,100 µM,,,7.4,S,,NA,Unknown,,NA,No,17875315
Glucose,Caenorhabditis elegans,N2,50 mM,,,-7.75,S,-0.9,NA,Unknown,,NA,No,17908557
2-deoxy-D-glucose,Caenorhabditis elegans,N2,5 mM,,,12.93,S,56.49,NA,Unknown,,NA,No,17908557
Lithium Chloride,Caenorhabditis elegans,N2,10 mM,,,36,S,,NA,Unknown,,NA,No,17959600
Rhodiola rosea extract,Drosophila melanogaster,,30 mg/mL,,,11.9,S,,NA,Female,,NA,No,17990971
Rhodiola rosea extract,Drosophila melanogaster,,30 mg/mL,,,14,S,,NA,Male,,NA,No,17990971
Quercetin,Caenorhabditis elegans,N2,100 µM,,,19,S,15,NA,Unknown,,NA,No,18024103
Mianserin,Caenorhabditis elegans,N2,50 µM,,,31,S,,NA,Unknown,,NA,No,18033297
Hydrogen Sulphide,Caenorhabditis elegans,N2,50 ppm,,,74,S,,NA,Unknown,,NA,No,18077331
Cocoa extract,Rattus norvegicus,Wistar-Unilever,24 mg/5 ml/kg,,,11,S,,NA,Unknown,,NA,No,18179729
FCCP,Caenorhabditis elegans,N2,50 µM,,,27.8,S,21.4,NA,Unknown,,NA,No,18221415
Myxothiazol,Caenorhabditis elegans,N2,10 µM,,,32.3,S,28.6,NA,Unknown,,NA,No,18221415
Valproic acid,Caenorhabditis elegans,N2,6 mM,,,35,S,42,NA,Unknown,,NA,No,18248662
Platinum nanoparticles,Caenorhabditis elegans,N2,0.5 mM,,,22,S,,NA,Unknown,,NA,No,18400258
Reserpine,Caenorhabditis elegans,N2,30 µM,,,31,S,,NA,Unknown,,NA,No,18409080
Alpha-lipoic acid,Rattus norvegicus,BN/SsNOlaHSD,1.5 g/kg,,,0,NS,,NA,Male,,NA,No,18486188
"2,4-dinitrophenol",Mus musculus,Swiss Webster,1 ppm water,4 months,until death,7,S,,NA,Female,-11,S,No,18505478
Caffeine,Saccharomyces cerevisiae,BY4741,0.2-0.4 mM,,,86,S,,NA,Unknown,,NA,No,18513215
Rhodiola rosea extract,Caenorhabditis elegans,N2,10 µg/ml,,,15,S,,NA,Unknown,,NA,No,18536978
Eleutherococcus senticosus extract,Caenorhabditis elegans,N2,250 µg/ml,,,16,S,,NA,Unknown,,NA,No,18536978
Nordihydroguaiaretic acid,Mus musculus,UM-HET3,2500 ppm food (417 ppm bodyweight),9 months,until death,12,S,0,NS,Male,,NA,Yes,18631321
Nordihydroguaiaretic acid,Mus musculus,UM-HET3,2500 ppm food (417 ppm bodyweight),9 months,until death,0,NS,0,NS,Female,,NA,Yes,18631321
Nitroflurbiprofen,Mus musculus,UM-HET3,200 ppm food (33 ppm bodyweight),4 months,until death,0,NS,0,NS,Female,,NA,Yes,18631321
Nitroflurbiprofen,Mus musculus,UM-HET3,200 ppm food (33 ppm bodyweight),4 months,until death,0,NS,0,NS,Male,,NA,Yes,18631321
Aspirin,Mus musculus,UM-HET3,21 ppm food (3.3 ppm bodyweight),4 months,until death,0,NS,0,NS,Female,,NA,Yes,18631321
Aspirin,Mus musculus,UM-HET3,21 ppm food (3.3 ppm bodyweight),4 months,until death,8,S,0,NS,Male,,NA,Yes,18631321
4-hydroxyphenyl-N-tert-butylnitrone,Mus musculus,UM-HET3,350 ppm food (53 ppm/day bodyweight),4 months,until death,0,NS,0,NS,Female,,NA,Yes,18631321
4-hydroxyphenyl-N-tert-butylnitrone,Mus musculus,UM-HET3,350 ppm food (53 ppm/day bodyweight),4 months,until death,0,NS,0,NS,Male,,NA,Yes,18631321
Quercetin,Caenorhabditis elegans,N2,200 µM,,,10,S,,NA,Unknown,,NA,No,18692520
Quercetin,Caenorhabditis elegans,N2,100 µM,,,10,S,,NA,Unknown,,NA,No,18692520
Metformin,Mus musculus,SHR,100 ppm water,3 months,until death,38,S,21,S,Female,0,NS,No,18728386
Propyl gallate,Caenorhabditis elegans,N2,1 mM,,,12,S,0,NA,Unknown,,NA,No,18755260
Taxifolin,Caenorhabditis elegans,N2,820 µM,,,51,S,,NA,Unknown,,NA,No,18755260
Trolox,Caenorhabditis elegans,N2,3 mM,,,31,S,,NA,Unknown,,NA,No,18755260
Alpha-lipoic acid,Caenorhabditis elegans,N2,1 mM,,,21,S,0,NA,Unknown,,NA,No,18755260
Calcium pantothenate,Drosophila melanogaster,Oregon,0.5g/kg,,,27.8,S,,NA,Unknown,,NA,No,18856647
Pyridoxine ,Drosophila melanogaster,Oregon,0.025 g/kg,,,10.5,S,,NA,Unknown,,NA,No,18856648
Biotin,Drosophila melanogaster,Oregon,0.0067,,,0,NS,,NA,Unknown,,NA,No,18856648
Sodium Yeast Nucleate,Drosophila melanogaster,Oregon,5 g/kg,,,20.3,S,,NA,Unknown,,NA,No,18856648
Ethosuximide,Caenorhabditis elegans,N2,4 mg/mL,,,21.11,S,,NA,Unknown,,NA,No,18949032
Quercetin,Caenorhabditis elegans,N2,200 µM,,,11,S,9,NA,Unknown,,NA,No,19043800
Quercetin,Caenorhabditis elegans,N2,200 µM,,,18,S,29,NA,Unknown,,NA,No,19043800
Quercetin,Caenorhabditis elegans,N2,100 µM,,,11,S,25,NA,Unknown,,NA,No,19043800
Quercetin,Caenorhabditis elegans,N2,200 µM,,,10,S,-2,NA,Unknown,,NA,No,19043800
Quercetin,Caenorhabditis elegans,N2,200 µM,,,9,S,0,NA,Unknown,,NA,No,19043800
Quercetin,Caenorhabditis elegans,N2,200 µM,,,10,S,,NA,Unknown,,NA,No,19043800
Quercetin,Caenorhabditis elegans,N2,200 µM,,,10,NS,-8,NA,Unknown,,NA,No,19043800
Quercetin,Caenorhabditis elegans,N2,200 µM,,,9,S,,NA,Unknown,,NA,No,19043800
Quercetin,Caenorhabditis elegans,N2,100 µM,,,8,S,16,NA,Unknown,,NA,No,19043800
Quercetin,Caenorhabditis elegans,N2,100 µM,,,8,NS,-3,NA,Unknown,,NA,No,19043800
Cocoa extract,Drosophila melanogaster,rosy^+5,100 g/l medium,,,,NS,,NA,Male,,NA,No,19083435
Cocoa extract,Drosophila melanogaster,rosy^+5,50 g/l medium,,,,S,,NA,Male,,NA,No,19083435
Epigallocatechin-3-gallate,Caenorhabditis elegans,N2,NA,,,12.2,S,,NA,Unknown,,NA,No,19085685
SkQ1,Podospora anserina,,100 nM,,,50,S,,NA,Unknown,,NA,No,19120018
SkQ1,Ceriodaphnia affinis,,0.55 nM,,,100,S,,NA,Unknown,,NA,No,19120018
SkQ1,Drosophila melanogaster,,20 pM-20 nM,,,14,S,,NA,Unknown,,NA,No,19120018
Gliotoxin,Caenorhabditis elegans,N2,500 nmol,,,0.9,NS,,NA,Unknown,,NA,No,19235201
Gliotoxin,Caenorhabditis elegans,N2,250 nmol,,,-2.01,NS,,NA,Unknown,,NA,No,19235201
Gliotoxin,Caenorhabditis elegans,N2,125 nmol,,,-4.02,NS,,NA,Unknown,,NA,No,19235201
Gliotoxin,Caenorhabditis elegans,N2,63 nmol,,,-9.54,NS,,NA,Unknown,,NA,No,19235201
Resveratrol,Anastrepha ludens,,100 µM,,,-5.6,NS,10.2,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-2.3,NS,26.5,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,15.6,S,22.5,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,6.2,NS,7.3,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,2.6,NS,13.9,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-4.9,NS,5.4,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,8,NS,36.3,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,11.2,NS,-1.4,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,3.8,NS,5.7,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,2.5,NS,-7.7,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,1.5,NS,10,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,2.6,NS,17.5,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,2.3,NS,5,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,1.3,NS,16.6,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,0,NS,-3.4,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-2.3,NS,16.7,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-1.4,NS,-12,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-0.5,NS,3.7,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-3.3,NS,-12.1,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-2.8,NS,-4.8,NA,Female,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM ,,,-4.6,NS,-12.4,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-5.8,NS,-7.3,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-14.5,NS,-14.4,NA,Male,,NA,No,19264118
Resveratrol,Anastrepha ludens,,100 µM,,,-25.3,S,-9.5,NA,Female,,NA,No,19264118
Psoralea corylifolia extract,Caenorhabditis elegans,N2,10 µg/mL,,,,S,9.8,NA,Unknown,,NA,No,19350411
Pine bark extract,Caenorhabditis elegans,N2,10 µg/mL,,,,S,5.2,NA,Unknown,,NA,No,19350411
Nicotinamide adenine dinucleotide,Caenorhabditis elegans,N2,100 µM,,,15,NA,,NA,Unknown,,NA,No,19370397
Coenzyme Q10,Caenorhabditis elegans,clk-1 (qm30),,,,19,S,,NA,Unknown,,NA,No,19428456
Lamotrigine,Drosophila melanogaster,Ives,12 mg/ml,,,15.4,S,,NA,Male,,NA,No,19430925
Lamotrigine,Drosophila melanogaster,Ives,12 mg/ml,,,17.2,S,,NA,Female,,NA,No,19430925
Carbonylcyanide-3-chlorophenylhydrazone,Caenorhabditis elegans,N2,10 µM,,,60,S,,NA,Unknown,,NA,No,19442682
Catechin,Caenorhabditis elegans,N2,200 µm,,,13,S,,NA,Unknown,,NA,No,19501612
Trimethadione,Caenorhabditis elegans,N2,25 µL Liposomes + 0.6mg trimethadione,,,,S,50,NA,Unknown,,NA,No,19580823
N-acetyl-L-cysteine,Caenorhabditis elegans,N2,25 µL Liposomes + 100 µg NAC,,,,S,42.9,NA,Unknown,,NA,No,19580823
Glutathione,Caenorhabditis elegans,N2,25 µL Liposomes + 360 µg glutathione,,,,S,50,NA,Unknown,,NA,No,19580823
Ascorbic acid,Caenorhabditis elegans,N2,25 µL Liposomes + 240 µg ascorbic acid,,,,S,50,NA,Unknown,,NA,No,19580823
Rapamycin,Mus musculus,UM-HET3,14 ppm food (2.24 ppm/day bodyweight),20 months,until death,13,S,14,S,Female,,NA,Yes,19587680
Rapamycin,Mus musculus,UM-HET3,14 ppm food (2.24 ppm/day bodyweight),20 months,until death,9,S,9,S,Male,,NA,Yes,19587680
Enalapril,Mus musculus,UM-HET3,120 ppm food (20 ppm/day bodyweight),4 months,until death,0,NS,0,NS,Female,,NA,Yes,19587680
Enalapril,Mus musculus,UM-HET3,120 ppm food (20 ppm/day bodyweight),4 months,until death,0,NS,0,NS,Male,,NA,Yes,19587680
Caffeic acid phenethylester,Mus musculus,UM-HET3,300 ppm food (50 ppm/day bodyweight),4 months,until death,0,NS,0,NS,Female,,NA,Yes,19587680
Caffeic acid phenethylester,Mus musculus,UM-HET3,300 ppm food (50 ppm/day bodyweight),4 months,until death,0,NS,0,NS,Male,,NA,Yes,19587680
Caffeic acid phenethylester,Mus musculus,UM-HET3,30 ppm food (5 ppm/day bodyweight),4 months,until death,0,NS,0,NS,Female,,NA,Yes,19587680
Caffeic acid phenethylester,Mus musculus,UM-HET3,30 ppm food (5 ppm/day bodyweight),4 months,until death,0,NS,0,NS,Male,,NA,Yes,19587680
Juglone,Caenorhabditis elegans,N2,40 µm,,,29,S,,NA,Unknown,,NA,No,19597959
Rhodiola rosea extract,Drosophila melanogaster,,25 mg/mL,,,24,S,31,NA,Female,,NA,No,19634056
Rhodiola rosea extract,Drosophila melanogaster,,25 mg/mL,,,24,S,16,NA,Male,,NA,No,19634056
Black tea extract,Drosophila melanogaster,,10 mg/ml,,,10,S,,NA,Unknown,,NA,No,19770032
Oxaloacetate,Caenorhabditis elegans,N2,8 mM,,,25,S,13,NA,Unknown,,NA,No,19793063
Spermidine,Caenorhabditis elegans,N2,0.2 mM,,,15,S,,NA,Unknown,,NA,No,19801973
Spermidine,Saccharomyces cerevisiae,,4 mM,,,233,S,,NA,Unknown,,NA,No,19801973
Spermidine,Drosophila melanogaster,w1118,1 mM,,,30,S,,NA,Unknown,,NA,No,19801973
Reishi extract,Caenorhabditis elegans,N2,100 ppm,,,35,S,,NA,Unknown,,NA,No,19837596
Acetic Acid,Caenorhabditis elegans,N2,50 ppm,,,23,S,,NA,Unknown,,NA,No,19837596
Sorbitol,Caenorhabditis elegans,N2,2%,,,-2,NS,,NA,Unknown,,NA,No,19883616
Glycerol,Caenorhabditis elegans,N2,1%,,,-24,S,,NA,Unknown,,NA,No,19883616
Sorbitol,Caenorhabditis elegans,N2,2%,,,5,NS,,NA,Unknown,,NA,No,19883616
Glycerol,Caenorhabditis elegans,N2,1%,,,-23,S,,NA,Unknown,,NA,No,19883616
Glycerol,Caenorhabditis elegans,N2,1%,,,-36,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,102%,,,-17,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-16,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-23,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-28,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-17,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-31,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-20,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-15,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-24,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-9,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,11,NS,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,0,NS,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-11,S,,NA,Unknown,,NA,No,19883616
Glucose,Caenorhabditis elegans,N2,2%,,,-19,S,,NA,Unknown,,NA,No,19883616
LY-294002,Drosophila melanogaster,Canton S,5 µM,,,14.3,S,16.3,NA,Female,,NA,No,20017609
LY-294002,Drosophila melanogaster,Canton S,5 µM,,,14,S,22.5,NA,Male,,NA,No,20017609
Rapamycin,Drosophila melanogaster,white Dahomey,200 µM,,,13,S,,NA,Female,,NA,No,20074526
Metformin,Caenorhabditis elegans,N2,50 mM,,,40,S,0,NA,Unknown,,NA,No,20090912
SQDB,Caenorhabditis elegans,N2,100 µg/ml,,,12,S,,NA,Unknown,,NA,No,20179756
Metformin,Rattus norvegicus,Fischer 344,300 mg/kg/day,,,2.3,NS,2.1,NA,Unknown,,NA,No,20304770
FCCP,Caenorhabditis elegans,N2,50 µM,,,17.3,S,21.6,NA,Unknown,,NA,No,20346071
Vigconic 28,Mus musculus,C57BL/6J,5000 ppm food,9 months,until death,7,NS,,NA,Male,,NA,No,20370440
Vigconic 28,Mus musculus,C57BL/6J,5000 ppm food,9 months,until death,14,S,,NA,Male,,NA,No,20370440
Vigconic 28,Mus musculus,C57BL/6J,500 ppm food,9 months,until death,9,S,,NA,Female,,NA,No,20370440
Vigconic 28,Mus musculus,C57BL/6J,500 ppm food,9 months,until death,14,S,,NA,Male,,NA,No,20370440
Tannic acid,Caenorhabditis elegans,N2,100 µM,,,18,S,,NA,Unknown,,NA,No,20413530
Indolepropionamide,Philodina acuticornis,odiosa,30 µM,,,267.9,S,,NA,Unknown,,NA,No,20421998
Indolepropionamide,Philodina acuticornis,odiosa,20 µM,,,229.7,S,,NA,Unknown,,NA,No,20421998
Indolepropionamide,Philodina acuticornis,odiosa,10 µM,,,137.8,S,,NA,Unknown,,NA,No,20421998
Phaseolus vulgaris extract,Caenorhabditis elegans,N2,150 µg / mL,,,13.2,S,,NA,Unknown,,NA,No,20455573
Maltose,Caenorhabditis elegans,N2,5 mM,,,8,S,,NA,Unknown,,NA,No,20477758
Sucrose,Caenorhabditis elegans,N2,5 mM,,,-4,NS,,NA,Unknown,,NA,No,20477758
"Alpha,beta-Trehalose",Caenorhabditis elegans,N2,5 mM,,,0,NS,,NA,Unknown,,NA,No,20477758
Trehalose,Caenorhabditis elegans,N2,5 mM,,,32,S,,NA,Unknown,,NA,No,20477758
Epigallocatechin-3-gallate,Caenorhabditis elegans,N2,100 µM,,,20,NS,13,NA,Unknown,,NA,No,20513639
Epicatechin,Caenorhabditis elegans,N2,100 µM,,,15,NS,11,NA,Unknown,,NA,No,20513639
DhHP-6,Caenorhabditis elegans,N2,200 µM,,,21,S,,NA,Unknown,,NA,No,20528576
L-Carnitine,Saccharomyces cerevisiae,CM39L-11A,1 mM,,,21.4,NS,,NA,Unknown,,NA,No,20550520
L-Carnitine,Saccharomyces cerevisiae,CM39L-11A,1 mM,,,62.4,NS,,NA,Unknown,,NA,No,20550520
L-Carnitine,Saccharomyces cerevisiae,CM39L-11A,1 mM,,,42.8,NS,,NA,Unknown,,NA,No,20550520
L-Carnitine,Saccharomyces cerevisiae,CM39L-11A,1 mM,,,50,NS,,NA,Unknown,,NA,No,20550520
L-Carnitine,Saccharomyces cerevisiae,BY4741,1 mM,,,260,NS,,NA,Unknown,,NA,No,20550520
L-Carnitine,Saccharomyces cerevisiae,BY4741,1 mM,,,140,NS,,NA,Unknown,,NA,No,20550520
Marine collagen peptides,Rattus norvegicus,Sprague-Dawley,0.09,,,11,S,13,NA,Unknown,,NA,No,20553190
Lithocholic acid,Saccharomyces cerevisiae,BY4741,50 µM ,,,100,S,,NA,Unknown,,NA,No,20622262
Cyclosporin A,Podospora anserina,s,0.1 µg/mL,,,1.61,NS,,NA,Unknown,,NA,No,20626725
Cyclosporin A,Podospora anserina,s,0.04 μg/mL,,,-1.16,NS,,NA,Unknown,,NA,No,20626725
Cyclosporin A,Podospora anserina,s,0.02 μg/mL,,,3.32,S,,NA,Unknown,,NA,No,20626725
Curcumin,Drosophila melanogaster,Ives,250 µM,,,18,S,,NA,Male,,NA,No,20645870
Curcumin,Drosophila melanogaster,Canton S,100 µM,,,19,S,,NA,Female,,NA,No,20645870
"S,S-trolox-carnosine",Drosophila melanogaster,,50 mg/L,,,36,S,,NA,Female,,NA,No,20681748
"S,S-trolox-carnosine",Drosophila melanogaster,,50 mg/L,,,16,S,,NA,Male,,NA,No,20681748
Carnosine,Drosophila melanogaster,,50 mg/l,,,20,S,,NA,Male,,NA,No,20681748
Apple extract,Caenorhabditis elegans,N2,100 µg/ml,,,12,S,,NA,Unknown,,NA,No,20717869
Procyanidins,Caenorhabditis elegans,N2,65 µg/ml,,,12.1,S,,NA,Unknown,,NA,No,20717869
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,4 µl/100 ml media,,,12.4,S,6.4,NA,Unknown,,NA,No,20738162
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,12 µl/100 ml media,,,26.8,S,21.3,NA,Male,,NA,No,20738162
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,4 µl/100 ml media,,,16,S,14,NA,Unknown,,NA,No,20738162
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,20 µl/100 ml media,,,44.4,S,8,NA,Male,,NA,No,20738162
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,20 µl/100 ml media,,,55.7,S,36,NA,Female,,NA,No,20738162
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,12 µl/100 ml media,,,21.9,S,8,NA,Female,,NA,No,20738162
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,12 µl/100 ml media,,,22.1,S,10.6,NA,Male,,NA,No,20738162
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,20 µl/100 ml media,,,32,S,14.9,NA,Male,,NA,No,20738162
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,12 µl/100 ml media,,,31.3,S,22,NA,Female,,NA,No,20738162
Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,20 µl/100 ml media,,,35.6,S,14,NA,Female,,NA,No,20738162
N-acetyl-L-cysteine,Mus musculus,UM-HET3,5000 ppm water (250 ppm/day bodyweight),7 months,until death,,NA,,S,Male,-25,NA,No,20819793
